Category,Item,Description,Location,Specification,Quantity,Unit,Cost
DEMOLITION,Kitchen Demolition,Remove existing kitchen cabinetry soffit sink counter and wall & floor finishes,Kitchen,Complete removal to prepare for new installation,1,LS,
DEMOLITION,Spiral Stair Removal,Remove spiral stair and portion of landing platform; protect/salvage existing carpet at landing,Living Area,Partial removal with carpet protection,1,LS,
DEMOLITION,Bathroom Demolition,Remove bathroom vanity wall & floor finishes; save accessories - towel rod and T.P. dispenser,Bathroom,Complete removal save specified accessories,1,LS,
DEMOLITION,Window Removal,Remove window and upper portion of wall only,Bathroom,Partial wall removal,1,EA,
DEMOLITION,Storage Shelving,Carefully remove storage shelving along shared wall; save for re-use,Storage Area,Remove and save for reinstallation,1,LS,
DEMOLITION,Light Fixture Removal,Remove light fixtures,Various Locations,Remove existing fixtures,6,EA,
DEMOLITION,Vent Louver,Remove/relocate existing vent louver,Bathroom,Relocate to new wall location,1,EA,
DEMOLITION,Plumbing Fixtures,Remove existing plumbing fixtures,Kitchen & Bathroom,Disconnect and cap as required,1,LS,
DEMOLITION,Kitchen Appliances,Disconnect and remove existing kitchen appliances; save and protect gas oven and refrigerator for re-use,Kitchen,Save oven and refrigerator,1,LS,
DEMOLITION,Washer/Dryer,Disconnect and remove existing washer and dryer; save and protect for re-installation,Laundry Closet,Save for reinstallation,1,LS,
DEMOLITION,Ceiling Fan,Remove save and protect existing ceiling fan for re-installation,Bedroom,Save for reinstallation,1,EA,
DEMOLITION,Exhaust Fan,Remove existing non-functioning exhaust fan,Bathroom,Remove non-functioning unit,1,EA,
STRUCTURAL,Metal Studs 3-5/8",3-5/8" minimum 25 GA steel studs at maximum 24" O.C.,New Partition Walls,UL U419 partition 1-hr rated,200,LF,
STRUCTURAL,Metal Studs 2-1/2",2-1/2" minimum 25 GA steel studs at maximum 24" O.C.,Furring Walls,For wall furring applications,100,LF,
STRUCTURAL,Gypsum Board 5/8",5/8" thick gypsum board applied vertically or horizontally,All New Walls,Fire-rated gypsum board,1500,SF,
STRUCTURAL,Insulation,Roxul AFB insulation,All New Walls,Acoustic and thermal insulation,800,SF,
STRUCTURAL,Cement Board,5/8" cement board at all tiled areas,Bathroom & Kitchen Wet Areas,Mold and moisture resistant,300,SF,
STRUCTURAL,Acoustical Sealant,Acoustical sealant and firestopping as required,All Penetrations,At top and bottom of walls,50,LF,
STRUCTURAL,Wood Blocking,Wood blocking for grab bar installation,Bathroom,Reinforcement for accessibility,4,EA,
STRUCTURAL,Platform Framing,Frame new platform landing and provide new stair and metal baluster/wood handrail,Living Area,Reinforce existing wall for future stair lift,1,LS,
PLUMBING,Kitchen Sink,Signature Hardware 30" Rowena Farmhouse Single Basin #SHF30127,Kitchen,White finish farmhouse style,1,EA,
PLUMBING,Kitchen Faucet,Perrin & Rowe U.4042L-APC-2 Holborn,Kitchen,Chrome finish single hole,1,EA,
PLUMBING,Soap Dispenser,Perrin & Rowe soap dispenser,Kitchen,Chrome finish to match faucet,1,EA,
PLUMBING,Glass Rinser,Delta GR-250 Glass Washer/Rinser,Kitchen,Chrome finish metal glass rinser,1,EA,
PLUMBING,Bathroom Lavatory,Bottega White/Glass Lavatory & Vanity,Bathroom,Custom vanity with integrated sink,1,EA,
PLUMBING,Bathroom Faucet,Fantini F3402F004WU Single Hole Faucet,Bathroom,Chrome finish,1,EA,
PLUMBING,Sink Drain,Fantini F910 1-1/4" Universal Pop Up Drain,Bathroom,Chrome finish,1,EA,
PLUMBING,Toilet,TOTO Legato,Bathroom,White finish,1,EA,
PLUMBING,Shower Mixer Rough,Fantini 19 00 D400AU Thermostatic Shower Mixer Rough,Bathroom,Chrome finish rough-in valve,1,EA,
PLUMBING,Shower Mixer Trim,Fantini Icona Deco 87 02 R700BU Thermostatic Shower Mixer Trim,Bathroom,Chrome finish 8.9/7.6GPM,1,EA,
PLUMBING,Diverter Rough,Fantini 1900D391AU 2-Way Diverter w/ Volume Control Rough,Bathroom,Chrome finish rough-in,1,EA,
PLUMBING,Diverter Trim,Fantini Icona Classic 5302 R791BU 2-Way Diverter w/ Volume Control Trim,Bathroom,Chrome finish,1,EA,
PLUMBING,Shower Arm,Fantini 86 02 9236U Shower Arm,Bathroom,Chrome finish,1,EA,
PLUMBING,Shower Head,Fantini 7502 7135UC Shower Head,Bathroom,Chrome finish 1.8GPM,1,EA,
PLUMBING,Hand Shower,Fantini Hand-held Shower (3 options available),Bathroom,Chrome finish with hose and wall mount,1,EA,
PLUMBING,Shower Pan,MTI Alcove Shower Pan,Bathroom,30"x50" acrylic,1,EA,
PLUMBING,Shower Drain,Infinity Drain LDQ 5-2I,Bathroom,5"x5" linear drain,1,EA,
PLUMBING,Medicine Cabinet,Bottega Medicine Cabinet,Bathroom,30"x4"x29" custom,1,EA,
PLUMBING,Towel Rods,Re-use existing towel rods,Bathroom,Existing hardware,2,EA,
PLUMBING,TP Dispenser,Re-use existing toilet paper dispenser,Bathroom,Existing hardware,1,EA,
PLUMBING,Robe Hooks,TBD robe hooks,Bathroom,To be determined,2,EA,
PLUMBING,Grab Bar,Kartners 72791124 24" Grab Bar,Bathroom,Chrome finish ADA compliant,1,EA,
APPLIANCES,Dishwasher,Miele G5472SCVI,Kitchen,18"x24"x35" panel ready,1,EA,
APPLIANCES,Exhaust Fan,Panasonic FV0511VKS3S,Bathroom,75 CFM at 0.025" static pressure,1,EA,
APPLIANCES,Refrigerator,Existing Fisher Paykel Refrigerator,Kitchen,Existing to remain,1,EA,
APPLIANCES,Oven,Existing Oven,Kitchen,Existing to remain,1,EA,
APPLIANCES,Washer,Existing Washer,Laundry Closet,Existing to remain,1,EA,
APPLIANCES,Dryer,Existing Dryer,Laundry Closet,Existing to remain,1,EA,
