Category,Item/Action,Specification/Description,Manufacturer,Model #,Quantity,Unit,Source Page(s),Source Location(s)
Demolition,Remove Kitchen Cabinetry,Remove kitchen cabinetry soffit sink counter and wall & floor finishes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D1
Demolition,Remove Spiral Stair,Remove spiral stair and portion of landing platform; protect/salvage existing carpet at landing,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D2
Demolition,Remove Bathroom Vanity,Remove bathroom vanity wall & floor finishes; save accessories - towel rod and T.T. dispenser,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D3
Demolition,Remove Window,Remove window and upper portion of wall only,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D4
Demolition,Remove Storage Shelving,Carefully remove storage shelving along shared wall; save for re-use,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D5
Demolition,Remove Light Fixture,Remove light fixture,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D6
Demolition,Remove/Relocate Vent Louver,Remove/relocate existing vent louver,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D7
Demolition,Remove Plumbing Fixtures,Remove existing plumbing fixtures,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D20
Demolition,Remove Kitchen Appliances,Disconnect and remove existing kitchen appliances; save and protect gas oven and refrigerator for re-use,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D21
Demolition,Remove Washer and Dryer,Disconnect and remove existing washer and dryer; save and protect washer and dryer for re-installation,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D22
Demolition,Remove Ceiling Fan,Remove save and protect existing ceiling fan for re-installation,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D23
Demolition,Remove Exhaust Fan,Remove existing non-functioning exhaust fan,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D24
Demolition,Remove Lighting Fixture,Remove and save existing lighting fixture,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,A-100.00,Demolition Key Note D25
Demolition,Disconnect Kitchen Sink,Disconnect existing dishwasher and kitchen sink temporarily cap as required,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,P-100.00,Plumbing Key Note D1
Demolition,Disconnect Washer/Dryer,Disconnect washer and dryer temporarily cap as required,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,P-100.00,Plumbing Key Note D2
Demolition,Remove Bathroom Fixtures,Remove all existing bathroom fixtures and piping to riser,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,P-100.00,Plumbing Key Note D3
Demolition,Remove Exhaust Fan,Remove existing exhaust fan,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,P-100.00,Plumbing Key Note D4
