Category,Item,Description,Location,Specification,Quantity,Unit,Cost
Demolition,Kitchen Cabinetry Removal,Remove existing kitchen cabinetry and soffit,Kitchen,Complete removal including sink and counter,1,LS,
Demolition,Spiral Stair Removal,Remove spiral stair and portion of landing platform,Living Area,Protect/salvage existing carpet at landing,1,LS,
Demolition,Bathroom Vanity Removal,Remove bathroom vanity and finishes,Bathroom,Save accessories - towel rod and TP dispenser,1,LS,
Demolition,Window Removal,Remove window and upper portion of wall only,Kitchen,Partial wall removal,1,EA,
Demolition,Storage Shelving Removal,Carefully remove storage shelving along shared wall,Storage Area,Save for re-use,1,LS,
Demolition,Light Fixture Removal,Remove existing light fixtures,Various Locations,Multiple fixtures,6,EA,
Demolition,Vent Louver Removal,Remove/relocate existing vent louver,Bathroom,Relocate to new position,1,EA,
Demolition,Plumbing Fixtures Removal,Remove existing plumbing fixtures,Kitchen & Bathroom,Temporary cap as required,1,LS,
Demolition,Kitchen Appliances Disconnect,Disconnect existing kitchen appliances,Kitchen,Save gas oven and refrigerator for re-use,1,LS,
Demolition,Washer/Dryer Disconnect,Disconnect existing washer and dryer,Laundry Closet,Save and protect for re-installation,1,LS,
Demolition,Ceiling Fan Removal,Remove existing ceiling fan,Bedroom,Save and protect for re-installation,1,EA,
Demolition,Exhaust Fan Removal,Remove non-functioning exhaust fan,Bathroom,Complete removal,1,EA,
Structural,Metal Studs 3-5/8",3-5/8" metal studs 25 GA,New Partitions,@ 16" O.C. maximum,200,LF,
Structural,Metal Studs 2-1/2",2-1/2" metal studs 25 GA,Furring Walls,@ 24" O.C. maximum,150,LF,
Structural,Gypsum Board 5/8",5/8" gypsum board,All New Walls,Applied vertically or horizontally,800,SF,
Structural,Roxul AFB Insulation,Roxul AFB insulation,All New Walls,Between studs,400,SF,
Structural,Cement Board,Cement board for tiled areas,Bathroom & Kitchen,Mold and moisture resistant,120,SF,
Structural,Moisture Resistant Wallboard,Moisture resistant wallboard,Wet Locations,All other wet locations,80,SF,
Structural,Acoustical Sealant,Acoustical sealant and firestopping,All Partitions,At top and bottom,200,LF,
Flooring,Oak Wood Floors FL-1,Existing wood floors refinishing,Living/Dining/Bedroom/Corridor,Minwax stain and 3 coats water-based sealer,450,SF,
Flooring,Kitchen Tile FL-2,Kitchen tile flooring,Kitchen,Tiles by Victoria Galaxy 24x24 rectified porcelain white/matte,85,SF,
Flooring,Bath Tile FL-3,Bathroom tile flooring,Bathroom,Nemo Retroactive 2.0 12x12 snowblind/UPS,35,SF,
Flooring,Wood Trim FL-5,Wood trim to match floors,Various Locations,Match FL-1 finish and stain,120,LF,
Flooring,Threshold TH-1,Threshold tile to wood,Bathroom Entry,Schluter 1/8" thick,3,LF,
Flooring,Existing Trim Refinish TR-1,Existing wood trim/sill refinish,Various Locations,Finish and stain to match FL-1,80,LF,
Wall Finishes,Bath Wall Tile W-1,Bath/shower wall tile,Bathroom,Nemo Bryce 12x24 Pearle/Stuta Rio,140,SF,
Wall Finishes,Kitchen Backsplash W-2,Kitchen backsplash,Kitchen,Silestone 1-1/4" thick white with veining polished,25,SF,
Paint,Ceiling Paint PT-1,Paint ceiling,All Rooms,Benjamin Moore Super White matte,600,SF,
Paint,Trim Paint PT-2,Paint trim,All Rooms,Benjamin Moore White satin,120,LF,
Paint,Bath Wall Paint PT-3,Paint bathroom walls,Bathroom,Benjamin Moore White matte,80,SF,
Paint,Wall Paint PT-4,Paint living/kitchen/corridor walls,Living/Kitchen/Corridor,Benjamin Moore White eggshell,320,SF,
