Category,Item,Description,Location,Specification,Quantity,Unit,Cost
DEMOLITION,Kitchen Cabinetry Removal,Remove existing kitchen cabinetry and soffit,Kitchen,Complete removal including sink and counter,1,LS,
DEMOLITION,Spiral Stair Removal,Remove spiral stair and portion of landing platform,Living Area,Protect/salvage existing carpet at landing,1,LS,
DEMOLITION,Bathroom Vanity Removal,Remove bathroom vanity and finishes,Bathroom,Save accessories - towel rod and T.T. dispenser,1,LS,
DEMOLITION,Window Removal,Remove window and upper portion of wall only,Kitchen,Partial wall removal,1,EA,
DEMOLITION,Storage Shelving Removal,Carefully remove storage shelving along shared wall,Storage,Save for re-use,1,LS,
DEMOLITION,Light Fixture Removal,Remove existing light fixtures,Various,Multiple locations,6,EA,
DEMOLITION,Vent Louver Removal,Remove/relocate existing vent louver,Bathroom,Relocate to new position,1,EA,
DEMOLITION,Plumbing Fixtures Removal,Remove existing plumbing fixtures,Kitchen/Bathroom,Disconnect and cap as required,1,LS,
DEMOLITION,Kitchen Appliances Disconnect,Disconnect existing kitchen appliances,Kitchen,Save and protect gas oven and refrigerator,1,LS,
DEMOLITION,Washer/Dryer Disconnect,Disconnect washer and dryer,Laundry Closet,Save and protect for re-installation,1,LS,
DEMOLITION,Ceiling Fan Removal,Remove and save existing ceiling fan,Bedroom,Save and protect for re-installation,1,EA,
DEMOLITION,Exhaust Fan Removal,Remove existing non-functioning exhaust fan,Bathroom,Complete removal,1,EA,
FRAMING,Metal Stud Framing - U419,1-HR rated partition with 5/8" gypsum board each side,Various,3-5/8" min. 25 GA steel studs @ 24" O.C. max,120,LF,
FRAMING,Metal Stud Framing - 2-1/2",Furred wall with 5/8" gypsum board,Various,2-1/2" min. 25 GA steel studs @ 24" O.C. max,80,LF,
FRAMING,Gypsum Board - 5/8",Fire-rated gypsum wallboard,All New Walls,Applied vertically or horizontally,2400,SF,
FRAMING,Roxul AFB Insulation,Acoustic insulation for wall cavities,All New Walls,Between metal studs,400,SF,
FRAMING,Acoustical Sealant,Firestopping sealant,All New Walls,At top and bottom of partitions,200,LF,
FRAMING,Wood Blocking,Grab bar reinforcement blocking,Bathroom,For future grab bar installation,4,EA,
FLOORING,Oak Wood Floor Refinishing,Sand existing oak floors and refinish,Living/Dining/Bedroom/Corridor,Minwax stain TBD with 3 coats water-based sealer,650,SF,
FLOORING,Kitchen Porcelain Tile,Galaxy 24x24 rectified porcelain tile,Kitchen,White/Matte finish with 1/8" grout joints,120,SF,
FLOORING,Bathroom Porcelain Tile,Retroactive 2.0 12x12 porcelain tile,Bathroom,Snowblind color with 1/8" grout joints,45,SF,
FLOORING,Wood Trim Matching,Wood trim to match existing floors,Stair Areas,Stain and finish to match FL-1,25,LF,
FLOORING,Tile Grout - Kitchen,Laticrete grout for kitchen tile,Kitchen,TBD color or approved equal,3,BAG,
FLOORING,Tile Grout - Bathroom,Laticrete grout for bathroom tile,Bathroom,TBD color or approved equal,2,BAG,
FLOORING,Threshold Tile to Wood,Schluter threshold transition,Kitchen/Living Transition,1/8" thickness,2,EA,
WALL FINISHES,Bathroom Wall Tile,Bryce 12x24 wall tile,Bathroom Walls/Shower,Pearle/Stuta Rio color with 1/8" grout,180,SF,
WALL FINISHES,Kitchen Backsplash,Silestone backsplash,Kitchen,White with veining polished 1-1/4" thick,35,SF,
WALL FINISHES,Paint - Ceiling,Benjamin Moore ceiling paint,All Ceilings,Super White matte finish,800,SF,
WALL FINISHES,Paint - Trim,Benjamin Moore trim paint,All Trim,White satin finish,200,LF,
