Category,Item/Action,Specification/Description,Manufacturer,Model #,Quantity,Unit,Source Page(s),Source Location(s)
Finishes,Existing Wood Floors,OAK / TBD - Sanded stained and (3) coats water based sealer to be applied,MINWAX OR APPROVED EQUAL,NA,NOT SPECIFIED,SF,A-110.00,Finishes Materials List FL-1
Finishes,Kitchen Tile,WHITE/ MATTE - 24X24 RECTIFIED PORCELAIN,TILES BY VICTORIA,GALAXY 24X24,NOT SPECIFIED,SF,A-110.00,Finishes Materials List FL-2
Finishes,Bath Tile,SNOWBLIND / UPS - 12X12,NEMO,RETROACTIVE 2.0,NOT SPECIFIED,SF,A-110.00,Finishes Materials List FL-3
Finishes,Existing Carpet,PROTECT DURING CONSTRUCTION,EXISTING,NA,NOT SPECIFIED,SF,A-110.00,Finishes Materials List FL-4
Finishes,Wood Trim,TO MATCH FL-1,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-110.00,Finishes Materials List FL-5
Finishes,Threshold Tile to Wood,1/8" thickness,SCHLUTER,NA,NOT SPECIFIED,LF,A-110.00,Finishes Materials List TH-1
Finishes,Existing Wood Trim/Sill,REFINISHED FINISH AND STAIN TO MATCH FL-1,EXISTING,NA,NOT SPECIFIED,LF,A-110.00,Finishes Materials List TR-1
Finishes,Bath/Shower Wall Tile,PEARLE/STUTA - 12X24,NEMO,BRYCE,NOT SPECIFIED,SF,A-110.00,Finishes Materials List W-1
Finishes,Kitchen Backsplash,WHITE WITH VEINING / POLISHED - 1 1/4" TH WITH EDGE DETAIL - SQUARED EDGES,SILESTONE,ETHEREAL GLOW,NOT SPECIFIED,SF,A-110.00,Finishes Materials List W-2
Finishes,Paint - Ceiling,SUPER WHITE/ MATTE,BENJAMIN MOORE,TBD,NOT SPECIFIED,GAL,A-110.00,Finishes Materials List PT-1
Finishes,Paint - Trim,WHITE/ SATIN,BENJAMIN MOORE,TBD,NOT SPECIFIED,GAL,A-110.00,Finishes Materials List PT-2
Finishes,Paint - Bath Wall,WHITE/ MATTE,BENJAMIN MOORE,TBD,NOT SPECIFIED,GAL,A-110.00,Finishes Materials List PT-3
Finishes,Paint - Living/Kit/Corridor Walls,WHITE/ EGGSHELL,BENJAMIN MOORE,TBD,NOT SPECIFIED,GAL,A-110.00,Finishes Materials List PT-4
Finishes,Paint - Kitchen Garage,GREEN / MATTE,BENJAMIN MOORE,#678 PACIFIC RIM,NOT SPECIFIED,GAL,A-110.00,Finishes Materials List PT-5
Finishes,Kitchen Counter,WHITE WITH VEINING / POLISHED - 1 1/4" TH WITH EDGE DETAIL - SQUARED EDGES,SILESTONE,ETHEREAL GLOW,NOT SPECIFIED,SF,A-110.00,Finishes Materials List ST-1
Finishes,Bath Shelf/Niche,WHITE,TBD,THASSOS OR APPROVED EQUAL,NOT SPECIFIED,SF,A-110.00,Finishes Materials List ST-2
Finishes,Wall Base,PAINTED WOOD TO MATCH EXISTING,NA,NA,NOT SPECIFIED,LF,A-110.00,Finishes Materials List B-1
Finishes,Bath Wall Base - Bullnose,SNOWBLIND / UPS - 6X18,NEMO,RETROACTIVE 2.0,NOT SPECIFIED,LF,A-110.00,Finishes Materials List B-2
Millwork,Kitchen Cabinetry - Upper,WHITE/ MATTE FINISH - FULL OVERLAY WHITE LACQUER,BOTTEGA,FULL OVERLAY WHITE LACQUER,NOT SPECIFIED,LF,A-600.00,Millwork/Woodwork Schedule M1
Millwork,Kitchen Cabinetry - Lower,WD VENEER - FULL OVERLAY OAK WD VENEER,BOTTEGA,FULL OVERLAY OAK WD VENEER,NOT SPECIFIED,LF,A-600.00,Millwork/Woodwork Schedule M2
Millwork,Closet Doors,WD VENEER - FULL OVERLAY OAK WD VENEER,BOTTEGA,FULL OVERLAY OAK WD VENEER,NOT SPECIFIED,EA,A-600.00,Millwork/Woodwork Schedule M3
Appliances,Refrigerator,EXISTING,FISHER PAYKEL,EXISTING,1,EA,A-600.00,Appliances/Equipment Schedule REF
Appliances,Oven,EXISTING,EXISTING,EXISTING,1,EA,A-600.00,Appliances/Equipment Schedule OV
Appliances,Washer,EXISTING,EXISTING,EXISTING,1,EA,A-600.00,Appliances/Equipment Schedule W
Appliances,Dryer,EXISTING,EXISTING,EXISTING,1,EA,A-600.00,Appliances/Equipment Schedule D
Appliances,Dishwasher,PANEL READY - 18X24X35,MIELE,G5482SCVI,1,EA,A-600.00,Appliances/Equipment Schedule DW
Appliances,Exhaust Fan,75 CFM AT .025" STATIC PRESSURE,PANASONIC,FV0511VKS3S,1,EA,A-600.00,Appliances/Equipment Schedule EXH
Plumbing,Kitchen Sink,30" ROWENA FARMHOUSE SINGLE BASIN - WHITE,SIGNATURE HARDWARE,SHF30157,1,EA,A-600.00,Plumbing Schedule PL-1 SINK
