Category,Item,Description,Location,Specification,Quantity,Unit,Cost_Per_Unit,Subtotal,Total
Demolition,Kitchen Demolition,Remove existing kitchen cabinetry soffit sink counter and wall & floor finishes,Kitchen,Complete kitchen demo,1,LS,2500,2500,2500
Demolition,Spiral Stair Removal,Remove spiral stair and portion of landing platform,Living/Dining,Protect/salvage existing carpet at landing,1,LS,1800,1800,1800
Demolition,Bathroom Demolition,Remove bathroom vanity wall & floor finishes,Bathroom,Save accessories - towel rod and T.T. dispenser,1,LS,1200,1200,1200
Demolition,Window Removal,Remove window and upper portion of wall only,Bedroom,Partial wall removal,1,EA,800,800,800
Demolition,Storage Shelving,Carefully remove storage shelving along shared wall,Living/Dining,Save for re-use,1,LS,300,300,300
Demolition,Light Fixture Removal,Remove light fixtures,Various,Multiple locations,6,EA,75,450,450
Demolition,Plumbing Fixture Removal,Remove existing plumbing fixtures,Kitchen/Bath,Temporary cap as required,1,LS,600,600,600
Demolition,Appliance Disconnection,Disconnect and remove existing kitchen appliances,Kitchen,Save and protect gas oven and refrigerator,1,LS,400,400,400
Demolition,Washer/Dryer Disconnection,Disconnect and remove existing washer and dryer,Laundry Closet,Save and protect for re-installation,1,LS,300,300,300
Demolition,Exhaust Fan Removal,Remove existing non-functioning exhaust fan,Bathroom,Replace with new,1,EA,150,150,150
Framing,Metal Stud Walls,3-5/8" metal stud walls with 5/8" gypsum board each side,Various,UL U419 1-hr rated partition,120,LF,45,5400,5400
Framing,Furred Walls,2-1/2" metal stud furred wall with 5/8" gypsum board,Various,Existing wall with gyp bd furring,80,LF,35,2800,2800
Framing,Platform Landing,Frame new platform landing,Living/Dining,Reinforce existing wall for future stair lift,1,LS,2200,2200,2200
Framing,New Openings,Frame and finish new openings,Various,Multiple locations,4,EA,350,1400,1400
Framing,Shower Ledge,Frame and finish new ledge at shower,Bathroom,Coordinate finish height with kitchen cabinets,1,LS,450,450,450
Framing,Garage Cabinet Opening,Frame new opening for garage cabinet,Kitchen,Custom opening,1,EA,300,300,300
Insulation,Wall Insulation,ROXUL AFB insulation in metal stud walls,Various,Fire-rated insulation,200,SF,3.50,700,700
Drywall,Gypsum Board,5/8" gypsum board installation,Various,Fire-rated and moisture-resistant where required,1200,SF,2.25,2700,2700
Drywall,Cement Board,Cement board at all tiled areas,Bathroom/Kitchen,Mold and moisture resistant,180,SF,4.50,810,810
Drywall,Finishing,Skim sand and paint all walls & ceilings throughout,All Areas,See finish schedule,1200,SF,3.75,4500,4500
Flooring,Wood Floor Refinishing,Sand stain and seal existing oak floors,Living/Dining/Bedroom,Minwax or approved equal 3 coats water-based sealer,650,SF,8.50,5525,5525
Flooring,Kitchen Tile,24x24 Galaxy rectified porcelain tile,Kitchen,Tiles by Victoria white/matte,120,SF,12.50,1500,1500
Flooring,Bathroom Tile,12x12 Retroactive 2.0 tile,Bathroom,Nemo snowblind/UPS,45,SF,15.75,708.75,708.75
Flooring,Wood Trim,Wood trim to match existing floors,Various,Refinish to match FL-1,80,LF,18.50,1480,1480
Flooring,Threshold,Schluter threshold tile to wood,Bathroom Entry,1/8" thickness,2,EA,125,250,250
