Category,Item,Description,Location,Specification,Quantity,Unit,Cost_Per_Unit,Subtotal,Total
Demolition,Kitchen Cabinetry Removal,Remove existing kitchen cabinetry and soffit,Kitchen,Complete removal including disposal,1,LS,800,800,800
Demolition,Spiral Stair Removal,Remove spiral stair and portion of landing platform,Living/Dining,Protect/salvage existing carpet at landing,1,LS,1200,1200,1200
Demolition,Bathroom Vanity Removal,Remove bathroom vanity and finishes,Bathroom,Save accessories - towel rod and dispenser,1,LS,400,400,400
Demolition,Window Removal,Remove window and upper portion of wall,Bedroom,Partial wall removal only,1,EA,600,600,600
Demolition,Storage Shelving Removal,Carefully remove storage shelving,Shared Wall,Save for re-use,1,LS,200,200,200
Demolition,Light Fixture Removal,Remove existing light fixtures,Various,Multiple locations,6,EA,50,300,300
Demolition,Plumbing Fixture Removal,Remove existing plumbing fixtures,Kitchen/Bath,Temporary cap as required,1,LS,500,500,500
Demolition,Appliance Disconnection,Disconnect kitchen appliances,Kitchen,Save gas oven and refrigerator,1,LS,300,300,300
Demolition,Washer/Dryer Disconnection,Disconnect washer and dryer,Laundry Closet,Save and protect for re-installation,1,LS,200,200,200
Demolition,Exhaust Fan Removal,Remove non-functioning exhaust fan,Bathroom,Complete removal,1,EA,150,150,150
Framing,Metal Stud Walls,Install new 3-5/8" metal stud partitions,Various,25 GA studs @ 24" O.C. max,120,LF,15,1800,1800
Framing,Metal Stud Walls,Install new 2-1/2" metal stud partitions,Various,25 GA studs @ 24" O.C. max,80,LF,12,960,960
Framing,Wood Blocking,Provide wood blocking for grab bar installation,Bathroom,Behind tile areas,8,LF,8,64,64
Framing,Platform Landing,Frame new platform landing,Living Area,Coordinate with stair installation,1,LS,800,800,800
Framing,New Openings,Frame new openings for millwork,Various,Multiple locations,4,EA,150,600,600
Drywall,Gypsum Board,Install 5/8" gypsum board on metal studs,New Walls,Both sides of partition,400,SF,2.5,1000,1000
Drywall,Cement Board,Install cement board at tiled areas,Bathroom/Kitchen,Mold and moisture resistant,120,SF,4,480,480
Drywall,Skim and Paint,Skim sand and paint all walls and ceilings,Throughout,See finish schedule,1200,SF,3,3600,3600
Flooring,Wood Floor Refinishing,Sand stain and seal existing wood floors,Living/Dining/Bedroom,3 coats water-based sealer,600,SF,8,4800,4800
Flooring,Kitchen Tile,Install 24x24 porcelain tile,Kitchen,Galaxy White/Matte Rectified,180,SF,12,2160,2160
Flooring,Bathroom Tile,Install 12x12 tile,Bathroom,Snowblind/Nemo Retroactive 2.0,45,SF,15,675,675
Flooring,Tile Underlayment,Install waterproof membrane,Kitchen/Bath,Laticrete 9235 system,225,SF,6,1350,1350
Flooring,Threshold,Install tile to wood threshold,Bathroom Entry,Schluter system,2,LF,25,50,50
Tile Work,Bathroom Wall Tile,Install 12x24 wall tile,Bathroom,Pearle/Stuta Nemo Bryce,160,SF,18,2880,2880
Tile Work,Kitchen Backsplash,Install Silestone backsplash,Kitchen,White with veining polished,35,SF,45,1575,1575
Tile Work,Tile Base,Install bullnose tile base,Bathroom,6x18 Snowblind,20,LF,12,240,240
Millwork,Kitchen Upper Cabinets,Install white lacquer upper cabinets,Kitchen,Bottega full overlay,12,LF,350,4200,4200
Millwork,Kitchen Lower Cabinets,Install oak veneer lower cabinets,Kitchen,Bottega full overlay,16,LF,450,7200,7200
Millwork,Closet Doors,Install oak veneer closet doors,Laundry Closet,Bottega full overlay,1,SET,800,800,800
Millwork,Medicine Cabinet,Install recessed medicine cabinet,Bathroom,30"x4"x29" by Bottega,1,EA,400,400,400
Millwork,Floating Shelves,Install floating shelves,Living Area,Verify location in field,4,LF,75,300,300
Countertops,Kitchen Counter,Install Silestone countertop,Kitchen,White with veining 1-1/4" thick,28,SF,85,2380,2380
Countertops,Bathroom Shelf,Install Thassos marble shelf,Bathroom,White stone niche,2,SF,120,240,240
Plumbing,Kitchen Sink,Install farmhouse sink,Kitchen,Signature Hardware 30" Rowena,1,EA,650,650,650
Plumbing,Kitchen Faucet,Install kitchen faucet,Kitchen,Perrin & Rowe Holborn Chrome,1,EA,450,450,450
Plumbing,Glass Rinser,Install glass washer/rinser,Kitchen,Delta GR-250 Chrome,1,EA,180,180,180
Plumbing,Bathroom Lavatory,Install lavatory and vanity,Bathroom,Bottega white/glass,1,EA,800,800,800
Plumbing,Bathroom Faucet,Install single hole faucet,Bathroom,Fantini F3402F004WU Chrome,1,EA,380,380,380
Plumbing,Toilet,Install toilet,Bathroom,Toto Legato White,1,EA,450,450,450
Plumbing,Shower Thermostatic Mixer,Install shower mixer rough,Bathroom,Fantini 1900D400AU Chrome,1,EA,650,650,650
